name,description,,,,,,,,,,,,,,,,,,,,,,,,,Gel Shellac,Paper Gel Normal,Paper Gel Shellac,Normal Refill,Shellac Refill,Acrellic,Shellac Acrellic,Acrellic Refill,Acrellic Gel Refill,Gel Removal,Shellac Removal,Acrellic Removal,Eyelash Extension,Eyelash Refill,Eyelash Removal
Makeup,Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbershop,Barbershop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hair Salon,Hair Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spa,Spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nail Salon,Nail Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyelash Studio,Eyelash Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyebrow Studio,Eyebrow Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wax,Wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henna,Henna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facial,Facial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Treatment,Skin Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
